mag_diff_1,mag_diff_2,mag_diff_3,diff_1,diff_2,diff_3,Var3_1,Var3_2,Var3_3,Var4
0.034265,0.035886,0,551.64,557.27,0,0.053498,0.055119,0.019233,1
0.049939,0.035269,0,0,4.9219,5.625,0.06091,0.04624,0.010971,3
0.10791,0.080461,0,0,7.4219,3.4375,0.12313,0.095684,0.015223,5
0,0.13468,0.016749,3.6719,0,3.9063,0.038617,0.1733,0.055367,2
0.037912,0.096829,0,6.25,0,10.469,0.053705,0.11262,0.015794,6
0.039959,0.044454,0,0,0.78125,6.25,0.054962,0.059456,0.015002,4
0.035445,0.035318,0,0,3.5938,5.9375,0.045259,0.045132,0.009814,1
0.085877,0.05472,0,0,4.0625,4.5313,0.10722,0.076066,0.021346,3
0.080738,0.05868,0,16.016,0,18.75,0.094492,0.072434,0.013754,5
0.0063965,0.08013,0,7.3438,0,3.75,0.021502,0.095235,0.015105,2
0.032668,0.077242,0,1.0938,0,7.2656,0.043568,0.088142,0.0109,6
0.007836,0.018189,0,0,83.047,100.31,0.019327,0.029681,0.011491,4
0.058737,0.048879,0,0,5.9375,7.4219,0.072268,0.06241,0.013531,1
0.058369,0.036394,0,0,5.8594,8.6719,0.074889,0.052913,0.01652,3
0.12022,0.06995,0,0,7.9688,3.5156,0.13907,0.088804,0.018854,5
0.003609,0.075501,0,4.2188,0,3.2031,0.01779,0.089682,0.014181,2
0.03583,0.093278,0,2.8125,0,6.5625,0.048542,0.10599,0.012712,6
0.049357,0.065827,0,0,0.15625,6.3281,0.068437,0.084906,0.019079,4
0.036694,0.031217,0,0,6.4063,9.8438,0.043584,0.038107,0.0068901,1
0.053585,0.041971,0,0,3.5938,4.5313,0.067301,0.055687,0.013716,3
0.062114,0.050009,0,0,8.3594,4.2969,0.072912,0.060807,0.010798,5
0,0.12059,0.024957,19.219,0,3.6719,0.034747,0.15534,0.059704,2
0.039063,0.094122,0,6.5625,0,12.813,0.054734,0.10979,0.015671,6
0.032901,0.041976,0,0,1.7188,8.9063,0.045324,0.0544,0.012423,4
0.058785,0.052378,0,0,3.125,4.1406,0.07267,0.066263,0.013885,1
0.088899,0.049597,0,0,20.156,19.375,0.11166,0.072361,0.022764,3
0.074861,0.05775,0,0,6.9531,2.5781,0.089425,0.072314,0.014564,5
0,0.13279,0.013093,4.9219,0,5.0781,0.042745,0.17553,0.055838,2
0.02283,0.055044,0,4.5313,0,9.6094,0.030834,0.063047,0.0080036,6
0.023757,0.034767,0,0,0.78125,5.5469,0.035836,0.046846,0.012079,4
0.064106,0.046513,0,0,6.7188,8.0469,0.077548,0.059954,0.013442,1
0.062911,0.049645,0,0,4.8438,4.2188,0.078263,0.064998,0.015352,3
0.051719,0.043669,0,0,7.6563,3.3594,0.063748,0.055699,0.012029,5
0,0.20307,0.00093324,17.188,0,1.9531,0.056423,0.2595,0.057356,2
0.046566,0.11729,0,0.46875,0,2.6563,0.065836,0.13656,0.01927,6
0.034759,0.043689,0,0,1.5625,7.5,0.050856,0.059786,0.016097,4
0.070401,0.057328,0,0,5.3125,8.5156,0.090596,0.077523,0.020195,1
0.11804,0.075484,0,0,4.9219,3.6719,0.14861,0.10606,0.030571,3
0.1461,0.090806,0,0,4.1406,1.7188,0.16637,0.11107,0.020268,5
0,0.13074,0.0066058,5.5469,0,2.1875,0.043374,0.17411,0.04998,2
0.043244,0.13493,0,4.6875,0,7.2656,0.068147,0.15984,0.024903,6
0.064015,0.055656,0,0,2.1875,4.5313,0.085635,0.077275,0.021619,4
0.074261,0.050764,0,0,5.5469,6.4063,0.091867,0.06837,0.017607,1
0.068646,0.042159,0,0,5.0781,3.2031,0.08691,0.060423,0.018264,3
0.11976,0.071011,0,0,6.1719,1.5625,0.13821,0.089459,0.018447,5
0,0.1019,0.017131,3.125,0,3.9844,0.028832,0.13074,0.045962,2
0.037958,0.098447,0,0.70313,0,10.234,0.053642,0.11413,0.015684,6
0.061685,0.054734,0,0,4.2969,12.891,0.082894,0.075944,0.02121,4
0.016213,0.046664,0,2.5,0,2.2656,0.026362,0.056814,0.01015,1
0.095775,0.078788,0,0,3.3594,3.0469,0.12801,0.11103,0.032237,3
0.099607,0.084769,0,5.5469,0,7.6563,0.1179,0.10306,0.018289,5
0,0.23236,0.002607,2.1094,0,3.0469,0.057658,0.29001,0.060264,2
0.0473,0.13398,0,1.5625,0,7.4219,0.069764,0.15645,0.022464,6
0.086253,0.074676,0,0,0.15625,3.9844,0.11648,0.1049,0.030227,4
0.063099,0.056854,0,0,4.4531,5.9375,0.076195,0.069949,0.013096,1
0.092294,0.082479,0,0,19.453,19.688,0.12451,0.11469,0.032215,3
0.096968,0.073497,0,0,3.75,2.5781,0.11418,0.090708,0.017211,5
0.0052253,0.24202,0,4.6875,0,4.7656,0.079946,0.31674,0.074721,2
0.04898,0.16794,0,0,0,3.0469,0.073384,0.19235,0.024404,6
0.036161,0.049024,0,21.094,0,26.641,0.053647,0.06651,0.017486,4
0.080059,0.065791,0,0,3.9063,5.7813,0.09876,0.084493,0.018702,1
0.066395,0.036962,0,3.5156,0,9.7656,0.082336,0.052903,0.015941,3
0.10005,0.068937,0,0,8.3594,2.9688,0.11716,0.086048,0.017111,5
0.00027565,0.065522,0,9.4531,0,6.4063,0.018418,0.083665,0.018143,2
0.034419,0.095085,0,16.641,0,20.156,0.049929,0.11059,0.01551,6
0.027514,0.040421,0,14.297,0,31.328,0.040052,0.052959,0.012538,4
0.046674,0.048909,0,0,24.453,26.406,0.05729,0.059525,0.010616,1
0.10088,0.054059,0,0,4.7656,4.0625,0.12435,0.077525,0.023467,3
0.036276,0.042269,0,0,7.7344,1.6406,0.045575,0.051568,0.009299,5
0,0.081053,0.0066581,3.9844,0,3.2813,0.027775,0.10883,0.034433,2
0.041472,0.11594,0,7.7344,0,7.9688,0.057952,0.13242,0.01648,6
0.027579,0.036349,0,0,6.0156,17.422,0.041217,0.049988,0.013638,4
0.060758,0.049747,0,0,6.7969,8.125,0.073407,0.062396,0.012649,1
0.05476,0.039403,0,0,3.9063,3.8281,0.069233,0.053877,0.014473,3
0.11047,0.073085,0,0,7.3438,2.8906,0.1271,0.089712,0.016627,5
0.0014024,0.12223,0,3.9063,0,3.2813,0.034715,0.15555,0.033312,2
0.023048,0.06432,0,2.3438,0,7.8906,0.032505,0.073777,0.009457,6
0.035694,0.047587,0,2.0313,0,6.7188,0.047082,0.058975,0.011388,4
0.044686,0.039438,0,0,4.2188,8.3594,0.051602,0.046354,0.006916,1
0.082533,0.059261,0,0,3.125,3.75,0.10936,0.08609,0.02683,3
0.088097,0.071126,0,0,7.3438,2.6563,0.10269,0.085722,0.014595,5
0.029262,0.13245,0,20.156,0,4.6094,0.072497,0.17568,0.043235,2
0.037557,0.1134,0,0,1.3281,12.656,0.054417,0.13026,0.016861,6
0.032182,0.038104,0,0,4.0625,7.8906,0.045085,0.051007,0.012904,4
0.046284,0.04247,0,0,6.7188,8.9063,0.055783,0.05197,0.0094995,1
0.051311,0.039604,0,0,3.5156,4.2969,0.064316,0.05261,0.013005,3
0.125,0.078041,0,0,7.8125,2.7344,0.14335,0.096393,0.018352,5
0.0038549,0.18793,0,2.6563,0,3.5156,0.047841,0.23192,0.043986,2
0.035652,0.094361,0,2.5781,0,7.8125,0.048172,0.10688,0.012521,6
0.050732,0.052929,0,0,6.0938,14.453,0.070825,0.073022,0.020093,4
0.058023,0.05511,0,0,4.7656,8.2813,0.073408,0.070496,0.015385,1
0.088353,0.049501,0,0,6.0156,5.3125,0.11038,0.071528,0.022027,3
0.078315,0.059334,0,0,8.3594,3.2813,0.092528,0.073547,0.014213,5
0,0.10881,0.011931,4.2969,0,3.8281,0.029731,0.13854,0.041661,2
0.027123,0.080399,0,3.4375,0,7.5781,0.038894,0.09217,0.011771,6
0.019676,0.026561,0,2.2656,0,17.891,0.026254,0.033139,0.006578,4
0.062963,0.054527,0,0,5.625,6.7188,0.078448,0.070012,0.015485,1
0.1275,0.048201,0,0,7.1875,8.0469,0.15012,0.070813,0.022613,3
0.089203,0.070568,0,0,9.2969,2.8125,0.1023,0.083662,0.013094,5
0.004026,0.10367,0,3.4375,0,2.7344,0.024826,0.12447,0.0208,2
0.036139,0.092438,0,3.4375,0,5.7813,0.049212,0.10551,0.013073,6
0.026778,0.033551,0,0,1.25,8.0469,0.037412,0.044184,0.010634,4
0.055535,0.054332,0,0,13.828,15,0.068735,0.067532,0.013199,1
0.092928,0.08114,0,0,3.2813,3.0469,0.11937,0.10758,0.026444,3
0.099565,0.069594,0,0,5.8594,2.4219,0.11707,0.087096,0.017502,5
0.0064845,0.09741,0,29.844,0,31.484,0.026079,0.117,0.019594,2
0.034074,0.097288,0,1.0156,0,5.625,0.04802,0.11123,0.013946,6
0.020061,0.025161,0,0,1.7969,5.2344,0.027046,0.032146,0.0069848,4
0.050517,0.044378,0,0,3.4375,5.2344,0.06414,0.058002,0.013624,1
0.083483,0.052949,0,0,3.125,3.9063,0.10596,0.075431,0.022482,3
0.080354,0.058655,0,0,8.75,4.5313,0.095673,0.073973,0.015318,5
0.010306,0.15146,0,19.766,0,4.2188,0.047774,0.18893,0.037467,2
0.034502,0.092574,0,3.9844,0,7.9688,0.046755,0.10483,0.012254,6
0.053136,0.05093,0,0,2.3438,8.2813,0.073391,0.071184,0.020255,4
0.04343,0.042027,0,0,7.3438,10.156,0.052436,0.051033,0.0090062,1
0.1042,0.049242,0,0,3.3594,3.9844,0.12953,0.074568,0.025327,3
0.075591,0.060158,0,0,8.4375,4.375,0.089794,0.074362,0.014204,5
0.0025321,0.11597,0,2.2656,0,3.5156,0.034813,0.14825,0.032281,2
0.041432,0.12444,0,0,2.8125,4.0625,0.058794,0.1418,0.017362,6
0.042185,0.064265,0,0,3.5938,6.1719,0.062534,0.084614,0.020349,4
0.051933,0.04385,0,0,12.422,7.2656,0.063332,0.055249,0.011399,1
0.092136,0.049767,0,0,5.8594,4.2969,0.11595,0.073577,0.02381,3
0.097339,0.065205,0,0,7.6563,2.9688,0.11391,0.081777,0.016572,5
0,0.15559,0.015366,5.0781,0,4.8438,0.042912,0.1985,0.058278,2
0.036769,0.086165,0,3.5156,0,8.5938,0.04889,0.098287,0.012121,6
0.03235,0.05583,0,0,8.2031,15,0.046272,0.069752,0.013922,4
0.048107,0.044686,0,0,8.2813,8.5938,0.056843,0.053422,0.0087357,1
0.07622,0.055639,0,0,3.125,3.8281,0.097047,0.076466,0.020826,3
0.087469,0.066697,0,0,8.5938,4.2188,0.10307,0.082297,0.0156,5
0.0041696,0.12343,0,4.0625,0,3.75,0.031334,0.1506,0.027165,2
0.026236,0.06935,0,3.9063,0,7.3438,0.036237,0.079351,0.010001,6
0.022205,0.024792,0,0,3.125,5.0781,0.035531,0.038118,0.013326,4
0.057181,0.045819,0,0,5.8594,7.5781,0.069698,0.058336,0.012517,1
0.060471,0.052301,0,0,8.2813,7.2656,0.075685,0.067516,0.015214,3
0.082331,0.071434,0,0,9.5313,4.375,0.098985,0.088089,0.016655,5
0,0.119,0.014552,4.0625,0,3.5938,0.029694,0.1487,0.044246,2
0.034645,0.080424,0,0,0.3125,7.1875,0.045226,0.091006,0.010582,6
