mag_diff_1,mag_diff_2,mag_diff_3,diff_1,diff_2,diff_3,Var3_1,Var3_2,Var3_3,Var4
0.004855518,0.113015334,0,26.328125,0,26.40625,0.029568134,0.13772795,0.024712617,1
0.015981151,0.040345085,0,5.15625,0,8.4375,0.022790192,0.047154126,0.006809041,2
0.05578373,0.071032621,0,0,0.78125,583.671875,0.061698289,0.07694718,0.005914559,3
0.034265099,0.035886046,0,551.640625,557.265625,0,0.053497691,0.055118638,0.019232592,4
0.049939017,0.035268861,0,0,4.921875,5.625,0.060909987,0.04623983,0.010970969,5
0.107909253,0.080460676,0,0,7.421875,3.4375,0.123132263,0.095683686,0.01522301,6
0,0.134678602,0.016749333,3.671875,0,3.90625,0.038617312,0.173295914,0.055366645,1
0.037911678,0.096828747,0,6.25,0,10.46875,0.053705306,0.112622375,0.015793628,2
0.039959465,0.044454015,0,0,0.78125,6.25,0.054961771,0.05945632,0.015002306,3
0.0354455,0.035317718,0,0,3.59375,5.9375,0.045259493,0.04513171,0.009813993,4
0.085876609,0.054719744,0,0,4.0625,4.53125,0.107222898,0.076066033,0.021346289,5
0.080738029,0.058680043,0,16.015625,0,18.75,0.094492281,0.072434296,0.013754253,6
0.006396523,0.080130421,0,7.34375,0,3.75,0.021501505,0.095235403,0.015104982,1
0.032668468,0.077241897,0,1.09375,0,7.265625,0.043568111,0.088141541,0.010899644,2
0.007835988,0.018189431,0,0,83.046875,100.3125,0.019327328,0.02968077,0.01149134,3
0.05873744,0.048879175,0,0,5.9375,7.421875,0.072268337,0.062410072,0.013530897,4
0.058368736,0.036393516,0,0,5.859375,8.671875,0.074888719,0.052913498,0.016519983,5
0.120216935,0.06994987,0,0,7.96875,3.515625,0.139071118,0.088804053,0.018854183,6
0.003609008,0.075501335,0,4.21875,0,3.203125,0.017790099,0.089682426,0.014181091,1
0.035829656,0.093277708,0,2.8125,0,6.5625,0.048541885,0.105989936,0.012712229,2
0.04935741,0.065826639,0,0,0.15625,6.328125,0.068436561,0.084905791,0.019079152,3
0.03669399,0.031216962,0,0,6.40625,9.84375,0.043584089,0.038107061,0.006890099,4
0.053585192,0.041970832,0,0,3.59375,4.53125,0.067301271,0.05568691,0.013716079,5
0.062113619,0.050008683,0,0,8.359375,4.296875,0.072911969,0.060807033,0.01079835,6
0,0.120592157,0.024956674,19.21875,0,3.671875,0.034746903,0.15533906,0.059703577,1
0.039063229,0.094121898,0,6.5625,0,12.8125,0.054733862,0.109792532,0.015670633,2
0.032901006,0.041976408,0,0,1.71875,8.90625,0.045324214,0.054399616,0.012423208,3
0.058784778,0.052377902,0,0,3.125,4.140625,0.072670008,0.066263132,0.01388523,4
0.088898844,0.049596739,0,0,20.15625,19.375,0.111662878,0.072360773,0.022764034,5
0.07486067,0.057750025,0,0,6.953125,2.578125,0.089424559,0.072313915,0.01456389,6
0,0.132787798,0.013093068,4.921875,0,5.078125,0.04274529,0.175533088,0.055838359,1
0.022830112,0.055043552,0,4.53125,0,9.609375,0.030833679,0.063047118,0.008003566,2
0.023756642,0.034767036,0,0,0.78125,5.546875,0.035836048,0.046846442,0.012079406,3
0.064106083,0.046512617,0,0,6.71875,8.046875,0.077547732,0.059954265,0.013441648,4
0.062910731,0.049645402,0,0,4.84375,4.21875,0.078262852,0.064997524,0.015352122,5
0.051718834,0.043669342,0,0,7.65625,3.359375,0.063748209,0.055698716,0.012029374,6
0,0.203073027,0.000933243,17.1875,0,1.953125,0.056422985,0.259496012,0.057356228,1
0.046566016,0.117291116,0,0.46875,0,2.65625,0.065835591,0.13656069,0.019269575,2
0.03475931,0.043688756,0,0,1.5625,7.5,0.050856158,0.059785604,0.016096848,3
0.070401057,0.057328121,0,0,5.3125,8.515625,0.090595824,0.077522888,0.020194767,4
0.118035181,0.075484293,0,0,4.921875,3.671875,0.148606638,0.10605575,0.030571457,5
0.146099309,0.090806235,0,0,4.140625,1.71875,0.1663675,0.111074425,0.020268191,6
0,0.13073965,0.006605843,5.546875,0,2.1875,0.043373764,0.174113414,0.049979607,1
0.043243784,0.13493225,0,4.6875,0,7.265625,0.068146772,0.159835238,0.024902988,2
0.064015089,0.055655707,0,0,2.1875,4.53125,0.085634552,0.07727517,0.021619463,3
0.074260904,0.050763929,0,0,5.546875,6.40625,0.091867419,0.068370445,0.017606516,4
0.068646308,0.042159131,0,0,5.078125,3.203125,0.086910473,0.060423296,0.018264165,5
0.119760163,0.071011479,0,0,6.171875,1.5625,0.138207314,0.089458629,0.01844715,6
0,0.101903656,0.017130515,3.125,0,3.984375,0.028831812,0.130735468,0.045962327,1
0.037958408,0.098447304,0,0.703125,0,10.234375,0.053642041,0.114130938,0.015683633,2
0.061684562,0.054734304,0,0,4.296875,12.890625,0.082894446,0.075944188,0.021209884,3
0.016212742,0.046663883,0,2.5,0,2.265625,0.026362458,0.0568136,0.010149717,4
0.095775104,0.078788068,0,0,3.359375,3.046875,0.128012408,0.111025372,0.032237304,5
0.099606688,0.084768979,0,5.546875,0,7.65625,0.117895459,0.103057751,0.018288771,6
0,0.232356933,0.002606962,2.109375,0,3.046875,0.057657501,0.290014435,0.060264463,1
0.047300366,0.133982077,0,1.5625,0,7.421875,0.069764015,0.156445726,0.022463648,2
0.086252794,0.074675778,0,0,0.15625,3.984375,0.116479652,0.104902636,0.030226858,3
0.063099033,0.056853628,0,0,4.453125,5.9375,0.076194774,0.069949369,0.01309574,4
